Region,Team,Player,ACS,K:D,KAST,HS,Clutches,K,D,A,Opening Duel Win
North America,Cloud9,vanity,178,0.92,74.0,0.15,12,355,386,215,56.7
North America,Cloud9,xeta,178,1.02,77.0,0.2,16,369,361,159,53.3
North America,100 Thieves,Hiko,177,0.9,70.0,0.28,4,165,184,93,56.0
EMEA,BIG,gob b,175,0.89,66.0,0.24,13,173,194,79,40.0
North America,100 Thieves,BabyJ,177,0.91,63.0,0.29,0,64,70,16,42.9
EMEA,BIG,Kaspe,147,0.69,62.0,0.22,1,137,199,79,42.9
EMEA,BBL Esports,pAura,158,0.66,61.0,0.29,2,114,172,39,41.1
EMEA,Acend,BONECOLD,164,0.83,67.0,0.32,4,149,179,62,35.3
EMEA,Acend,Kiles,145,0.67,60.0,0.27,2,130,194,69,37.5
North America,100 Thieves,ec1s,153,0.66,69.0,0.25,0,50,76,35,33.3
